,,,,,,,,Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Type,Year,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,,,,,,,,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,,,,,,,,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,,,,,,,,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,,,,,,,,,,,,,,
,,,(%),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Homes,2018,4.55,0.90,4.55,28.9,343.1,449.5,78.4,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1985,11.92,2.56,12.42,23.6,62.0,89.3,73.3,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1986,10.10,2.22,10.50,24.5,73.0,104.8,72.9,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1987,9.51,2.11,9.88,25.2,78.8,110.4,74.1,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1988,10.05,1.97,10.40,26.1,79.3,111.3,74.4,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1989,10.21,1.82,10.53,26.9,93.1,129.9,74.1,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1990,10.06,1.81,10.38,26.1,96.1,134.2,74.0,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1991,9.39,1.58,9.66,25.8,100.3,141.0,73.8,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1992,8.20,1.61,8.49,24.3,102.1,138.7,76.4,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1993,7.27,1.19,7.47,24.5,98.7,132.8,77.1,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1994,8.00,1.09,8.19,25.7,92.0,119.9,80.0,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1995,8.02,0.97,8.18,26.5,96.2,125.4,79.8,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1996,7.81,0.98,7.97,26.1,103.3,136.4,78.8,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1997,7.72,1.01,7.89,26.7,115.7,151.7,79.0,,,,,,,,,,,,,,,,,,,,
Previously Occupied Homes,1998,7.05,0.86,7.18,27.4,121.9,161.1,78.8,,,,,,,,,,,,,,,,,,,,
